Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.8,M,EVENT,NO,NO,0:34,0:37
2,1.8,L,BEHAVIOR,NO,NO,0:37,0:47
2,1.8,M,EVENT,NO,NO,0:47,0:52
2,1.8,L,BEHAVIOR,NO,NO,0:52,1:04
2,1.8,M,EVENT,NO,NO,1:05,1:08
2,1.8,L,BEHAVIOR,NO,NO,1:08,1:52
2,1.8,L,BEHAVIOR,NO,NO,1:54,2:04
2,1.8,M,EVENT,NO,NO,2:05,2:08
2,1.8,L,BEHAVIOR,NO,NO,2:13,2:17
2,1.8,L,BEHAVIOR,NO,NO,2:20,2:23
2,1.8,M,EVENT,NO,NO,2:24,2:26
2,1.8,L,BEHAVIOR,NO,NO,2:26,2:29
2,1.8,M,EVENT,NO,NO,2:30,2:31
2,1.8,L,BEHAVIOR,NO,NO,2:32,2:43
2,1.8,M,EVENT,NO,NO,2:43,2:46
2,1.8,L,BEHAVIOR,NO,NO,2:46,2:55
2,1.8,M,EVENT,NO,NO,2:56,3:03
2,1.8,M,EVENT,NO,NO,3:08,3:16
2,1.8,L,BEHAVIOR,NO,NO,3:16,3:30
2,1.8,L,BEHAVIOR,NO,NO,3:33,4:06
2,1.8,M,EVENT,NO,NO,4:06,4:11
2,1.8,M,EVENT,NO,NO,4:18,4:22
2,1.8,L,BEHAVIOR,NO,NO,5:13,5:46
