Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.9,L,BEHAVIOR,NO,NO,0:15,0:17
2,1.9,S,BEHAVIOR,NO,NO,1:04,1:06
2,1.9,M,EVENT,NO,NO,2:15,2:19
2,1.9,B,EVENT,NO,NO,2:35,2:38
2,1.9,B,EVENT,NO,NO,2:39,2:41
2,1.9,B,EVENT,NO,NO,2:43,2:44
2,1.9,M,EVENT,NO,NO,2:50,2:52
2,1.9,M,EVENT,NO,NO,3:05,3:08
2,1.9,L,BEHAVIOR,NO,NO,3:09,3:12
2,1.9,M,EVENT,NO,NO,3:12,3:17
2,1.9,M,EVENT,NO,NO,3:22,3:24
2,1.9,M,EVENT,NO,NO,3:26,3:30
2,1.9,NB,BEHAVIOR,NO,NO,3:54,3:57
2,1.9,NB,BEHAVIOR,NO,YES,3:60,4:03
2,1.9,L,BEHAVIOR,NO,YES,4:04,4:21
2,1.9,NB,BEHAVIOR,NO,NO,4:24,4:29
2,1.9,NB,BEHAVIOR,NO,NO,4:45,4:55
2,1.9,M,EVENT,NO,NO,4:59,5:09
2,1.9,NB,BEHAVIOR,NO,NO,5:20,5:23
2,1.9,NB,BEHAVIOR,NO,YES,5:51,6:12
2,1.9,L,BEHAVIOR,NO,YES,6:16,6:33
2,1.9,NB,BEHAVIOR,NO,YES,6:37,6:54
2,1.9,NB,BEHAVIOR,NO,YES,7:31,8:12
2,1.9,L,BEHAVIOR,NO,YES,8:14,8:46
2,1.9,L,BEHAVIOR,NO,NO,8:53,9:02
