Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
1,3,U,Music,YES,YES,00:33,01:08
1,3,B,Event,YES,YES,00:40,00:44
1,3,L,Behavior,YES,YES,00:46,00:51
1,3,B,Event,YES,YES,00:51,00:54
1,3,L,Behavior,YES,YES,00:56,01:21
1,3,V,Event,YES,NO,01:21,01:21
1,3,U,Music,YES,YES,01:25,01:43
1,3,M,Event,YES,NO,02:35,02:38
1,3,L,Behavior,YES,NO,02:39,02:40
1,3,S,Behavior,YES,NO,02:41,02:47
1,3,P,Behavior,YES,NO,05:10,05:13
1,3,L,Behavior,YES,NO,05:20,05:25
1,3,S,Behavior,YES,NO,05:24,05:31
1,3,FP,Behavior,YES,NO,06:19,06:26
1,3,M,Event,YES,NO,06:28,06:31
1,3,L,Behavior,YES,NO,06:33,06:58
1,3,M,Event,YES,NO,06:59,07:02
1,3,M,Event,YES,NO,07:22,07:23
1,3,FP,Behavior,YES,NO,07:26,07:26
1,3,U,Music,YES,YES,07:26,07:41
1,3,FP,Behavior,YES,YES,07:29,07:29
1,3,U,Music,YES,YES,07:55,08:14
1,3,U,Music,YES,YES,08:24,08:41
1,3,U,Music,YES,YES,09:11,09:20
1,3,V,Event,YES,YES,09:15,09:16
1,3,V,Event,YES,YES,09:18,09:18
1,3,U,Music,YES,YES,09:34,09:49
