,Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
108,2,2,U,MUSIC,YES,YES,22:04,22:30
109,2,2,NB,BEHAVIOR,YES,YES,22:05,22:10
110,2,2,H,EVENT,YES,YES,22:14,22:14
111,2,2,H,EVENT,YES,YES,22:17,22:18
112,2,2,H,EVENT,YES,YES,22:21,22:22
113,2,2,H,EVENT,YES,YES,22:22,22:25
114,2,2,NB,BEHAVIOR,YES,NO,22:55,22:58
115,2,2,L,BEHAVIOR,YES,NO,23:00,23:45
116,2,2,L,BEHAVIOR,YES,NO,23:52,23:58
117,2,2,M,EVENT,YES,NO,23:59,24:04
118,2,2,FP,BEHAVIOR,YES,NO,24:06,24:07
119,2,2,L,BEHAVIOR,YES,NO,24:08,24:39
120,2,2,P,BEHAVIOR,YES,NO,24:40,24:49
121,2,2,V,EVENT,YES,NO,24:52,24:54
122,2,2,L,BEHAVIOR,YES,NO,24:55,25:41
123,2,2,M,EVENT,YES,NO,25:46,25:53
124,2,2,L,BEHAVIOR,YES,NO,25:54,27:30
125,2,2,H,EVENT,YES,NO,27:31,27:32
126,2,2,P,BEHAVIOR,YES,NO,27:34,27:35
127,2,2,L,BEHAVIOR,YES,NO,27:37,28:15
128,2,2,M,EVENT,YES,NO,28:16,28:29
129,2,2,NB,BEHAVIOR,YES,NO,28:30,28:32
130,2,2,M,EVENT,YES,NO,28:33,28:38
131,2,2,E,BEHAVIOR,YES,NO,28:39,29:56
132,2,2,M,EVENT,YES,NO,30:00,30:03
133,2,2,M,EVENT,YES,NO,30:06,30:21
134,2,2,E,BEHAVIOR,YES,NO,30:21,31:29
135,2,2,NB,BEHAVIOR,YES,NO,31:36,31:38
136,2,2,NB,BEHAVIOR,YES,NO,31:46,31:59
137,2,2,M,EVENT,YES,NO,32:07,32:08
138,2,2,NB,BEHAVIOR,YES,NO,32:09,32:14
139,2,2,M,EVENT,YES,NO,32:14,32:20
140,2,2,L,BEHAVIOR,YES,NO,32:20,32:48
141,2,2,L,BEHAVIOR,YES,NO,32:52,33:01
142,2,2,U,MUSIC,YES,YES,32:53,33:15
143,2,2,L,BEHAVIOR,YES,YES,33:09,33:12
144,2,2,L,BEHAVIOR,YES,NO,33:20,33:28
145,2,2,L,BEHAVIOR,YES,NO,33:31,33:37
