Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,3,L,BEHAVIOR,YES,NO,00:01,02:25
2,3,L,BEHAVIOR,YES,NO,02:28,02:46
2,3,U,MUSIC,YES,YES,02:49,03:01
2,3,P,BEHAVIOR,YES,NO,03:23,03:29
2,3,U,MUSIC,YES,YES,03:33,03:45
2,3,L,BEHAVIOR,YES,YES,03:34,03:49
2,3,FP,BEHAVIOR,YES,NO,03:51,03:52
2,3,L,BEHAVIOR,YES,NO,03:54,04:39
2,3,N,EVENT,YES,NO,04:39,04:40
2,3,U,MUSIC,YES,YES,04:40,04:58
2,3,L,BEHAVIOR,YES,YES,04:41,04:45
2,3,L,BEHAVIOR,YES,NO,05:04,06:28
2,3,P,BEHAVIOR,YES,NO,06:28,06:36
2,3,V,EVENT,YES,NO,06:36,06:37
2,3,U,MUSIC,YES,YES,06:37,06:51
2,3,L,BEHAVIOR,YES,YES,06:38,08:50
2,3,B,EVENT,YES,NO,09:48,09:49
2,3,U,MUSIC,YES,YES,09:50,10:03
2,3,N,EVENT,YES,NO,10:52,10:53
2,3,U,MUSIC,YES,YES,10:55,11:18
2,3,M,EVENT,YES,YES,10:60,11:03
2,3,FP,BEHAVIOR,YES,YES,11:06,11:08
2,3,L,BEHAVIOR,YES,YES,11:09,12:01
2,3,P,BEHAVIOR,YES,NO,12:02,12:05
2,3,L,BEHAVIOR,YES,NO,12:06,12:43
2,3,L,BEHAVIOR,YES,NO,12:45,12:59
2,3,M,EVENT,YES,NO,12:59,13:00
2,3,L,BEHAVIOR,YES,NO,13:01,13:31
2,3,M,EVENT,YES,NO,13:31,13:37
2,3,NB,BEHAVIOR,YES,NO,13:40,13:43
2,3,M,EVENT,YES,NO,13:44,13:48
2,3,B,EVENT,YES,NO,13:49,13:49
2,3,U,MUSIC,YES,YES,13:51,14:23
2,3,H,EVENT,YES,YES,13:51,13:52
2,3,H,EVENT,YES,YES,13:53,13:58
2,3,B,EVENT,YES,YES,14:07,14:08
2,3,N,EVENT,YES,YES,14:11,14:12
2,3,V,EVENT,YES,NO,15:43,15:44
2,3,M,EVENT,YES,NO,16:44,16:50
2,3,L,BEHAVIOR,YES,NO,16:52,16:54
2,3,L,BEHAVIOR,YES,NO,16:54,17:14
2,3,FP,BEHAVIOR,YES,NO,16:55,16:57
2,3,V,EVENT,YES,NO,17:15,17:16
2,3,L,BEHAVIOR,YES,NO,17:16,19:39
2,3,U,MUSIC,YES,YES,18:60,19:20
2,3,V,EVENT,YES,YES,19:05,19:05
2,3,V,EVENT,YES,YES,19:18,19:19
2,3,V,EVENT,YES,NO,19:28,19:29
2,3,M,EVENT,YES,NO,19:39,19:44
2,3,L,BEHAVIOR,YES,NO,19:46,19:57
2,3,V,EVENT,YES,NO,20:03,20:04
2,3,V,EVENT,YES,NO,20:20,20:20
2,3,V,EVENT,YES,NO,20:38,20:38
2,3,V,EVENT,YES,NO,20:50,20:51
2,3,M,EVENT,YES,NO,21:06,21:11
2,3,M,EVENT,YES,NO,21:12,21:15
2,3,L,BEHAVIOR,YES,NO,21:17,21:26
2,3,FP,BEHAVIOR,YES,NO,21:27,21:28
2,3,P,BEHAVIOR,YES,NO,21:30,21:35
