Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.1,M,EVENT,NO,NO,0:03,0:09
2,1.1,M,EVENT,NO,NO,0:18,0:26
2,1.1,NB,BEHAVIOR,NO,NO,0:46,0:47
2,1.1,M,EVENT,NO,NO,0:53,1:00
2,1.1,NB,BEHAVIOR,NO,NO,1:01,1:10
2,1.1,NB,BEHAVIOR,NO,NO,1:19,1:26
2,1.1,FP,BEHAVIOR,NO,NO,1:41,1:42
2,1.1,NB,BEHAVIOR,NO,YES,2:00,2:03
2,1.1,M,EVENT,NO,NO,2:21,2:32
2,1.1,L,BEHAVIOR,NO,NO,2:33,2:41
2,1.1,L,BEHAVIOR,NO,NO,2:44,3:02
2,1.1,M,EVENT,NO,NO,3:03,3:09
2,1.1,L,BEHAVIOR,NO,NO,3:23,3:30
2,1.1,M,EVENT,NO,NO,3:31,3:36
2,1.1,L,BEHAVIOR,NO,NO,3:38,4:01
2,1.1,L,BEHAVIOR,NO,NO,4:03,4:14
