Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.7,FP,BEHAVIOR,NO,NO,0:03,0:04
2,1.7,M,EVENT,NO,NO,0:11,0:15
2,1.7,NB,BEHAVIOR,NO,YES,0:15,0:41
2,1.7,NB,BEHAVIOR,NO,YES,0:53,1:01
2,1.7,NB,BEHAVIOR,NO,YES,1:04,1:09
2,1.7,P,BEHAVIOR,NO,YES,1:10,1:12
2,1.7,M,EVENT,NO,NO,1:19,1:25
2,1.7,N,EVENT,NO,NO,1:38,1:39
2,1.7,M,EVENT,NO,NO,1:51,1:55
2,1.7,L,BEHAVIOR,NO,NO,1:55,2:10
2,1.7,M,EVENT,NO,NO,2:10,2:14
2,1.7,NB,BEHAVIOR,NO,YES,2:29,2:43
2,1.7,NB,BEHAVIOR,NO,YES,2:48,3:04
2,1.7,L,BEHAVIOR,NO,YES,3:04,4:44
2,1.7,L,BEHAVIOR,NO,NO,4:44,4:46
2,1.7,FP,BEHAVIOR,NO,NO,4:48,4:49
2,1.7,L,BEHAVIOR,NO,NO,4:49,4:57
2,1.7,L,BEHAVIOR,NO,NO,5:03,5:37
