,Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Start,End
78,4,3,N,EVENT,YES,NO,25:19:00,25:20:00,00:25:19,00:25:20
79,4,3,U,MUSIC,YES,NO,25:21:00,26:49:00,00:25:21,00:26:49
80,4,3,B,EVENT,YES,NO,25:23:00,25:25:00,00:25:23,00:25:25
81,4,3,B,EVENT,YES,NO,25:28:00,25:29:00,00:25:28,00:25:29
82,4,3,B,EVENT,YES,NO,25:35:00,25:44:00,00:25:35,00:25:44
83,4,3,H,EVENT,YES,NO,25:57:00,26:00:00,00:25:57,00:26:00
84,4,3,M,EVENT,YES,NO,26:05:00,26:07:00,00:26:05,00:26:07
85,4,3,B,EVENT,YES,NO,26:07:00,26:09:00,00:26:07,00:26:09
86,4,3,B,EVENT,YES,NO,26:11:00,26:12:00,00:26:11,00:26:12
87,4,3,V,EVENT,YES,NO,26:18:00,26:19:00,00:26:18,00:26:19
88,4,3,B,EVENT,YES,NO,26:19:00,26:25:00,00:26:19,00:26:25
89,4,3,B,EVENT,YES,NO,26:28:00,26:33:00,00:26:28,00:26:33
90,4,3,V,EVENT,YES,NO,26:39:00,26:39:00,00:26:39,00:26:39
91,4,3,FP,BEHAVIOR,YES,NO,26:43:00,26:46:00,00:26:43,00:26:46
92,4,3,NB,BEHAVIOR,YES,NO,26:50:00,26:53:00,00:26:50,00:26:53
93,4,3,NB,BEHAVIOR,YES,NO,26:58:00,27:20:00,00:26:58,00:27:20
94,4,3,V,EVENT,YES,NO,27:27:00,27:28:00,00:27:27,00:27:28
95,4,3,U,MUSIC,YES,NO,27:30:00,27:52:00,00:27:30,00:27:52
96,4,3,B,EVENT,YES,NO,27:30:00,27:31:00,00:27:30,00:27:31
97,4,3,L,BEHAVIOR,YES,NO,27:40:00,27:42:00,00:27:40,00:27:42
98,4,3,P,BEHAVIOR,YES,NO,27:42:00,27:45:00,00:27:42,00:27:45
99,4,3,V,EVENT,YES,NO,27:45:00,27:46:00,00:27:45,00:27:46
100,4,3,L,BEHAVIOR,YES,NO,27:46:00,27:52:00,00:27:46,00:27:52
101,4,3,M,EVENT,YES,NO,27:57:00,28:07:00,00:27:57,00:28:07
102,4,3,P,BEHAVIOR,YES,NO,28:14:00,28:25:00,00:28:14,00:28:25
103,4,3,U,MUSIC,YES,NO,28:27:00,28:52:00,00:28:27,00:28:52
104,4,3,B,EVENT,YES,NO,28:29:00,28:30:00,00:28:29,00:28:30
105,4,3,L,BEHAVIOR,YES,NO,28:34:00,29:41:00,00:28:34,00:29:41
106,4,3,U,MUSIC,YES,NO,28:59:00,29:14:00,00:28:59,00:29:14
107,4,3,P,BEHAVIOR,YES,NO,29:03:00,29:42:00,00:29:03,00:29:42
108,4,3,V,EVENT,YES,NO,29:40:00,29:41:00,00:29:40,00:29:41
109,4,3,NB,BEHAVIOR,YES,NO,29:42:00,29:49:00,00:29:42,00:29:49
110,4,3,P,BEHAVIOR,YES,NO,29:52:00,30:35:00,00:29:52,00:30:35
