Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.5,L,BEHAVIOR,NO,NO,0:40,1:33
2,1.5,M,EVENT,NO,NO,1:34,1:36
2,1.5,P,BEHAVIOR,NO,NO,1:52,1:54
2,1.5,L,BEHAVIOR,NO,NO,2:53,4:42
2,1.5,FP,BEHAVIOR,NO,NO,4:43,4:44
2,1.5,L,BEHAVIOR,NO,NO,4:45,5:32
2,1.5,M,EVENT,NO,NO,5:34,5:38
2,1.5,M,EVENT,NO,NO,6:00,6:04
2,1.5,M,EVENT,NO,NO,6:23,6:33
2,1.5,L,BEHAVIOR,NO,NO,6:33,6:50
2,1.5,M,EVENT,NO,NO,6:51,7:01
2,1.5,M,EVENT,NO,NO,7:28,7:36
2,1.5,M,EVENT,NO,NO,7:41,7:47
2,1.5,NB,BEHAVIOR,NO,NO,7:55,8:40
2,1.5,M,EVENT,NO,NO,8:42,8:58
2,1.5,M,EVENT,NO,NO,9:27,9:36
2,1.5,L,BEHAVIOR,NO,NO,9:37,10:14
2,1.5,M,EVENT,NO,NO,10:15,10:19
2,1.5,NB,BEHAVIOR,NO,YES,10:20,10:26
2,1.5,L,BEHAVIOR,NO,YES,10:26,11:09
2,1.5,P,BEHAVIOR,NO,NO,11:44,11:45
2,1.5,NB,BEHAVIOR,NO,YES,11:46,12:24
2,1.5,B,EVENT,NO,YES,12:26,12:30
2,1.5,B,EVENT,NO,YES,12:32,12:34
2,1.5,N,EVENT,NO,YES,12:36,12:41
2,1.5,NB,BEHAVIOR,NO,YES,13:01,13:50
2,1.5,B,EVENT,NO,YES,13:52,13:54
