Observation id,D4S3,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,/Users/lydiayu/Downloads/D4_S3_output.mp4,,,,,,,,
,,,,,,,,,
Observation date,9/13/19 0:45,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
visitors,YES,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Music
703.571,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,YES
707.576,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,bobbing,EVENT,,START,YES
707.576,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,YES
710.573,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,bobbing,EVENT,,STOP,YES
713.579,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,YES
728.585,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,music,MUSIC,,STOP,YES
733.099,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,bobbing,EVENT,,START,NO
733.598,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,bobbing,EVENT,,STOP,NO
733.612,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
734.099,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,music,MUSIC,,START,YES
735.604,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,YES
746.619,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,YES
748.61,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,YES
754.632,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,feathers puffing,BEHAVIOR,,START,YES
757.635,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,feathers puffing,BEHAVIOR,,STOP,YES
759.126,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,music,MUSIC,,STOP,YES
760.132,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
761.128,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,NO
764.126,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
768.38,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,NO
774.877,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
776.883,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,pruning,BEHAVIOR,,START,NO
787.375,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,pruning,BEHAVIOR,,STOP,NO
788.404,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,stretching,BEHAVIOR,,START,NO
791.408,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,stretching,BEHAVIOR,,STOP,NO
791.908,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,NO
797.405,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,feathers puffing,BEHAVIOR,,START,NO
797.405,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
799.416,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,feathers puffing,BEHAVIOR,,STOP,NO
802.915,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,NO
826.419,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
827.917,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,START,NO
853.418,/Users/lydiayu/Downloads/D4_S3_output.mp4,1834.83,29.97,,moving,EVENT,,STOP,NO
