Observation id,2.1.4,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,,,,,,,,
,,,,,,,,,
Observation date,7/12/19 15:55,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
visitors,NO,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Music
7.657,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,moving,EVENT,,START,NO
20.653,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,moving,EVENT,,STOP,NO
28.905,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,standing on one leg,BEHAVIOR,,START,NO
32.153,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
34.405,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,feathers puffing,BEHAVIOR,,START,NO
35.404,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,feathers puffing,BEHAVIOR,,STOP,NO
36.907,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,standing on one leg,BEHAVIOR,,START,NO
38.908,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
42.904,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,standing on one leg,BEHAVIOR,,START,NO
54.404,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03626.MP4,404.9,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
