Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.11,L,BEHAVIOR,NO,NO,0:01,0:16
2,1.11,M,EVENT,NO,NO,0:17,0:18
2,1.11,L,BEHAVIOR,NO,NO,0:18,0:47
2,1.11,M,EVENT,NO,NO,1:22,1:27
2,1.11,L,BEHAVIOR,NO,NO,1:28,1:30
2,1.11,L,BEHAVIOR,NO,NO,1:32,1:40
2,1.11,M,EVENT,NO,NO,1:41,1:41
2,1.11,L,BEHAVIOR,NO,NO,1:41,1:53
2,1.11,M,EVENT,NO,NO,1:53,1:56
2,1.11,M,EVENT,NO,NO,1:60,2:03
2,1.11,L,BEHAVIOR,NO,NO,2:03,2:17
2,1.11,M,EVENT,NO,NO,2:18,2:25
2,1.11,NB,BEHAVIOR,NO,NO,2:26,2:28
2,1.11,NB,BEHAVIOR,NO,NO,2:29,2:31
2,1.11,N,EVENT,NO,YES,2:53,2:56
2,1.11,H,EVENT,NO,YES,2:58,3:02
2,1.11,B,EVENT,NO,YES,3:24,3:27
2,1.11,B,EVENT,NO,YES,3:33,3:33
2,1.11,NB,BEHAVIOR,NO,YES,3:48,4:03
2,1.11,B,EVENT,NO,YES,4:05,4:06
2,1.11,NB,BEHAVIOR,NO,YES,4:39,6:06
2,1.11,NB,BEHAVIOR,NO,YES,6:08,6:10
2,1.11,M,EVENT,NO,NO,6:39,6:41
