Observation id,2.1.9,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,,,,,,,,
,,,,,,,,,
Observation date,7/15/19 18:02,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
visitors,NO,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Music
15.383,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,standing on one leg,BEHAVIOR,,START,NO
16.882,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,standing on one leg,BEHAVIOR,,STOP,NO
64.431,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,stretching,BEHAVIOR,,START,NO
65.93,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,stretching,BEHAVIOR,,STOP,NO
135.447,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,moving,EVENT,,START,NO
138.95,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,moving,EVENT,,STOP,NO
154.505,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,bobbing,EVENT,,START,NO
157.507,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,bobbing,EVENT,,STOP,NO
159.025,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,bobbing,EVENT,,START,NO
160.525,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,bobbing,EVENT,,STOP,NO
162.545,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,bobbing,EVENT,,START,NO
164.048,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,bobbing,EVENT,,STOP,NO
169.537,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,moving,EVENT,,START,NO
172.397,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,moving,EVENT,,STOP,NO
184.79,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,moving,EVENT,,START,NO
188.285,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/MAH03632.MP4,542.04,29.97,,moving,EVENT,,STOP,NO
