Observation id,2.1.3,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,,,,,,,
,,,,,,,,
Observation date,2019-07-11 17:20:06,,,,,,,
,,,,,,,,
Description,"Day 2, session 1, video 3",,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
visitors,no,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0.411,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,74.170,29.97,,nibbling,BEHAVIOR,,START
39.659,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,74.170,29.97,,nibbling,BEHAVIOR,,STOP
40.662,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,74.170,29.97,,nibbling,BEHAVIOR,,START
42.672,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,74.170,29.97,,nibbling,BEHAVIOR,,STOP
70.660,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,74.170,29.97,,moving,EVENT,,START
73.828,/Volumes/ZOO_MM_DATA/ZOO/JoyBranchData/recordings/April2019/DJ_macaw/Day2_april10/Session1_a_Sam_JB/_GAM6896.MOV,74.170,29.97,,moving,EVENT,,STOP
