,N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Start,End
0,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,0:01:00,2:25:00,,,00:00:01,00:02:25
1,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,2:28:00,2:46:00,,,00:02:28,00:02:46
2,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,2:49:00,3:01:00,,,00:02:49,00:03:01
3,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,NO,3:23:00,3:29:00,,,00:03:23,00:03:29
4,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,3:33:00,3:45:00,,,00:03:33,00:03:45
5,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,YES,3:34:00,3:49:00,,,00:03:34,00:03:49
6,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,FP,BEHAVIOR,,YES,NO,3:51:00,3:52:00,,,00:03:51,00:03:52
7,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,3:54:00,4:39:00,,,00:03:54,00:04:39
8,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,N,EVENT,,YES,NO,4:39:00,4:40:00,,,00:04:39,00:04:40
9,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,4:40:00,4:58:00,,,00:04:40,00:04:58
10,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,YES,4:41:00,4:45:00,,,00:04:41,00:04:45
11,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,5:04:00,6:28:00,,,00:05:04,00:06:28
12,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,NO,6:28:00,6:36:00,,,00:06:28,00:06:36
13,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,6:36:00,6:37:00,,,00:06:36,00:06:37
14,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,6:37:00,6:51:00,,,00:06:37,00:06:51
15,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,YES,6:38:00,8:50:00,,,00:06:38,00:08:50
16,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,B,EVENT,,YES,NO,9:48:00,9:49:00,,,00:09:48,00:09:49
17,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,9:50:00,10:03:00,,,00:09:50,00:10:03
18,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,N,EVENT,,YES,NO,10:52:00,10:53:00,,,00:10:52,00:10:53
19,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,10:55:00,11:18:00,,,00:10:55,00:11:18
20,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,YES,11:00:00,11:03:00,,,00:11:00,00:11:03
21,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,FP,BEHAVIOR,,YES,YES,11:06:00,11:08:00,,,00:11:06,00:11:08
22,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,YES,11:09:00,12:01:00,,,00:11:09,00:12:01
23,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,NO,12:02:00,12:05:00,,,00:12:02,00:12:05
24,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,12:06:00,12:43:00,,,00:12:06,00:12:43
25,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,12:45:00,12:59:00,,,00:12:45,00:12:59
26,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,12:59:00,13:00:00,,,00:12:59,00:13:00
27,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,13:01:00,13:31:00,,,00:13:01,00:13:31
28,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,13:31:00,13:37:00,,,00:13:31,00:13:37
29,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,NB,BEHAVIOR,,YES,NO,13:40:00,13:43:00,,,00:13:40,00:13:43
30,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,13:44:00,13:48:00,,,00:13:44,00:13:48
31,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,B,EVENT,,YES,NO,13:49:00,13:49:00,,,00:13:49,00:13:49
32,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,13:51:00,14:23:00,,,00:13:51,00:14:23
33,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,YES,13:51:00,13:52:00,,,00:13:51,00:13:52
34,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,YES,13:53:00,13:58:00,,,00:13:53,00:13:58
35,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,B,EVENT,,YES,YES,14:07:00,14:08:00,,,00:14:07,00:14:08
36,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,N,EVENT,,YES,YES,14:11:00,14:12:00,,,00:14:11,00:14:12
37,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,15:43:00,15:44:00,,,00:15:43,00:15:44
38,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,16:44:00,16:50:00,,,00:16:44,00:16:50
39,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,16:52:00,16:54:00,,,00:16:52,00:16:54
40,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,16:54:00,17:14:00,,,00:16:54,00:17:14
41,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,FP,BEHAVIOR,,YES,NO,16:55:00,16:57:00,,,00:16:55,00:16:57
42,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,17:15:00,17:16:00,,,00:17:15,00:17:16
43,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,17:16:00,19:39:00,,,00:17:16,00:19:39
44,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,19:00:00,19:20:00,,,00:19:00,00:19:20
45,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,YES,19:05:00,19:05:00,,,00:19:05,00:19:05
46,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,YES,19:18:00,19:19:00,,,00:19:18,00:19:19
47,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,19:28:00,19:29:00,,,00:19:28,00:19:29
48,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,19:39:00,19:44:00,,,00:19:39,00:19:44
49,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,19:46:00,19:57:00,,,00:19:46,00:19:57
50,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,20:03:00,20:04:00,,,00:20:03,00:20:04
51,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,20:20:00,20:20:00,,,00:20:20,00:20:20
52,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,20:38:00,20:38:00,,,00:20:38,00:20:38
53,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,20:50:00,20:51:00,,,00:20:50,00:20:51
54,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,21:06:00,21:11:00,,,00:21:06,00:21:11
55,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,21:12:00,21:15:00,,,00:21:12,00:21:15
56,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,21:17:00,21:26:00,,,00:21:17,00:21:26
57,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,FP,BEHAVIOR,,YES,NO,21:27:00,21:28:00,,,00:21:27,00:21:28
58,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,NO,21:30:00,21:35:00,,,00:21:30,00:21:35
59,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,21:36:00,21:50:00,,,00:21:36,00:21:50
60,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,21:52:00,22:50:00,,,00:21:52,00:22:50
61,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,22:52:00,24:01:00,,,00:22:52,00:24:01
62,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,NO,24:01:00,24:04:00,,,00:24:01,00:24:04
63,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,24:05:00,24:07:00,,,00:24:05,00:24:07
64,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,NO,24:07:00,24:11:00,,,00:24:07,00:24:11
65,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,24:11:00,24:14:00,,,00:24:11,00:24:14
66,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,24:17:00,24:17:00,,,00:24:17,00:24:17
67,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,24:17:00,25:01:00,,,00:24:17,00:25:01
68,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,25:24:00,26:26:00,,,00:25:24,00:26:26
69,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,26:27:00,26:56:00,,,00:26:27,00:26:56
70,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,26:57:00,27:02:00,,,00:26:57,00:27:02
71,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,27:04:00,27:10:00,,,00:27:04,00:27:10
72,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,27:10:00,27:14:00,,,00:27:10,00:27:14
73,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,27:14:00,27:33:00,,,00:27:14,00:27:33
74,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,27:33:00,27:35:00,,,00:27:33,00:27:35
75,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,27:36:00,27:49:00,,,00:27:36,00:27:49
76,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,NO,27:49:00,27:51:00,,,00:27:49,00:27:51
77,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,27:51:00,27:54:00,,,00:27:51,00:27:54
78,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,27:52:00,28:08:00,,,00:27:52,00:28:08
79,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,YES,27:55:00,27:59:00,,,00:27:55,00:27:59
80,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,28:10:00,28:21:00,,,00:28:10,00:28:21
81,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,28:32:00,28:35:00,,,00:28:32,00:28:35
82,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,28:36:00,28:44:00,,,00:28:36,00:28:44
83,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,NO,28:44:00,28:45:00,,,00:28:44,00:28:45
84,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,28:47:00,29:02:00,,,00:28:47,00:29:02
85,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,YES,28:50:00,28:51:00,,,00:28:50,00:28:51
86,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,29:06:00,29:11:00,,,00:29:06,00:29:11
87,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,29:13:00,29:14:00,,,00:29:13,00:29:14
88,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,29:15:00,29:28:00,,,00:29:15,00:29:28
89,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,YES,29:16:00,29:17:00,,,00:29:16,00:29:17
90,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,YES,29:17:00,29:35:00,,,00:29:17,00:29:35
91,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,29:36:00,29:51:00,,,00:29:36,00:29:51
92,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,M,EVENT,,YES,NO,29:52:00,29:55:00,,,00:29:52,00:29:55
93,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,NO,29:55:00,30:53:00,,,00:29:55,00:30:53
94,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,30:04:00,30:04:00,,,00:30:04,00:30:04
95,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,30:19:00,30:20:00,,,00:30:19,00:30:20
96,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,30:35:00,30:36:00,,,00:30:35,00:30:36
97,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,30:53:00,30:54:00,,,00:30:53,00:30:54
98,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,U,MUSIC,,YES,YES,30:55:00,31:24:00,,,00:30:55,00:31:24
99,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,P,BEHAVIOR,,YES,YES,30:56:00,31:02:00,,,00:30:56,00:31:02
100,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,H,EVENT,,YES,YES,31:03:00,31:04:00,,,00:31:03,00:31:04
101,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,L,BEHAVIOR,,YES,YES,31:09:00,33:03:00,,,00:31:09,00:33:03
102,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,31:42:00,31:43:00,,,00:31:42,00:31:43
103,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,32:43:00,32:43:00,,,00:32:43,00:32:43
104,2,4/10/19,3,D2_S3_output.mov,11:53:00,1:10:40,V,EVENT,,YES,NO,33:04:00,33:04:00,,,00:33:04,00:33:04
