Sheet,Day,lenghts,Song,#interaction,Dance/Trigger,if D: #Bobs,if T: nimble/ poke/ hold/ feet,time start,time end,duration,New Start,New End
m,3,0:35:45,Jump in the Line,,M,,M,0:06:12,0:06:23,0:00:11,3:06:12,3:06:23
m,3,0:35:45,Jump in the Line,,M,,M,0:07:05,0:07:46,0:00:41,3:07:05,3:07:46
m,3,0:35:45,Jump in the Line,,Timing,,,,,,3:00:00,3:00:00
m,3,0:35:45,Jump in the Line,,Timing,,,,,,3:35:45,3:35:45
m,3,0:35:45,Jump in the Line,,Timing,,,,,,4:00:00,4:00:00
m,4,0:39:56,Move It,1,T,,N,0:00:10,0:00:13,0:00:03,4:00:10,4:00:13
m,4,0:39:56,Move It,1,T,,N,0:00:22,0:01:31,0:01:09,4:00:22,4:01:31
m,4,0:39:56,Move It,1,T,,N,0:01:46,0:02:41,0:00:55,4:01:46,4:02:41
m,4,0:39:56,Move It,2,T,,H,0:19:21,0:19:38,0:00:17,4:19:21,4:19:38
m,4,0:39:56,Move It,2,T,,F,0:19:40,0:22:33,0:02:53,4:19:40,4:22:33
m,4,0:39:56,Move It,3,T,,H,0:22:50,0:22:52,0:00:02,4:22:50,4:22:52
m,4,0:39:56,Move It,3,T,,F,0:22:57,0:34:37,0:11:40,4:22:57,4:34:37
m,4,0:39:56,Move It,,M,,M,0:00:10,0:01:38,0:01:28,4:00:10,4:01:38
m,4,0:39:56,Move It,,M,,M,0:01:47,0:02:49,0:01:02,4:01:47,4:02:49
m,4,0:39:56,Move It,,M,,M,0:19:22,0:22:44,0:03:22,4:19:22,4:22:44
m,4,0:39:56,Move It,,M,,M,0:22:51,0:34:44,0:11:53,4:22:51,4:34:44
m,4,0:39:56,Move It,,Timing,,,,,,4:00:00,4:00:00
m,4,0:39:56,Move It,,Timing,,,,,,4:39:56,4:39:56
m,4,0:39:56,Move It,,Timing,,,,,,5:00:00,5:00:00
jb,1,0:28:00,Lucky,1,T,,N,0:02:14,0:02:16,0:00:02,1:02:14,1:02:16
jb,1,0:28:00,Lucky,1,T,,N,0:02:41,0:02:45,0:00:04,1:02:41,1:02:45
jb,1,0:28:00,Lucky,2,T,,N,0:08:40,0:08:51,0:00:11,1:08:40,1:08:51
jb,1,0:28:00,Lucky,2,D,9,,0:08:02,0:09:03,0:01:01,1:08:02,1:09:03
jb,1,0:28:00,Lucky,2,T,,N,0:09:15,0:09:16,0:00:01,1:09:15,1:09:16
jb,1,0:28:00,Lucky,2,D,14,,0:09:18,0:09:38,0:00:20,1:09:18,1:09:38
jb,1,0:28:00,Lucky,3,T,,N,0:17:02,0:17:27,0:00:25,1:17:02,1:17:27
jb,1,0:28:00,Lucky,4,T,,N,0:22:49,0:22:51,0:00:02,1:22:49,1:22:51
jb,1,0:28:00,Lucky,4,D,2,,0:23:16,0:23:18,0:00:02,1:23:16,1:23:18
jb,1,0:28:00,Lucky,4,D,21,,0:23:20,0:23:47,0:00:27,1:23:20,1:23:47
jb,1,0:28:00,Lucky,4,D,6,,0:24:12,0:24:16,0:00:04,1:24:12,1:24:16
jb,1,0:28:00,Lucky,,Timing,,,,,,1:00:00,1:00:00
jb,1,0:28:00,Lucky,,Timing,,,,,,1:28:00,1:28:00
jb,1,0:28:00,Lucky,,Timing,,,,,,2:00:00,2:00:00
jb,2,0:53:20,Camelion,1,T,,N,0:01:42,0:01:56,0:00:14,2:01:42,2:01:56
jb,2,0:53:20,Camelion,1,T,,N,0:02:06,0:02:24,0:00:18,2:02:06,2:02:24
jb,2,0:53:20,Camelion,1,T,,N,0:02:58,0:03:10,0:00:12,2:02:58,2:03:10
jb,2,0:53:20,Camelion,2,T,,N,0:17:09,0:17:16,0:00:07,2:17:09,2:17:16
jb,2,0:53:20,Camelion,2,T,,N,0:18:36,0:19:14,0:00:38,2:18:36,2:19:14
jb,2,0:53:20,Camelion,2,D,17,,0:19:16,0:19:31,0:00:15,2:19:16,2:19:31
jb,2,0:53:20,Camelion,2,T,,N,0:19:50,0:20:40,0:00:50,2:19:50,2:20:40
jb,2,0:53:20,Camelion,2,D,2,,0:20:43,0:20:46,0:00:03,2:20:43,2:20:46
jb,2,0:53:20,Camelion,2,T,4,H,0:20:58,0:21:01,0:00:03,2:20:58,2:21:01
jb,2,0:53:20,Camelion,3,T,,N,0:23:05,0:23:31,0:00:26,2:23:05,2:23:31
jb,2,0:53:20,Camelion,3,T,,N,0:23:42,0:23:59,0:00:17,2:23:42,2:23:59
jb,2,0:53:20,Camelion,4,T,,N,0:25:19,0:25:54,0:00:35,2:25:19,2:25:54
jb,2,0:53:20,Camelion,5,T,,P,0:38:34,0:38:36,0:00:02,2:38:34,2:38:36
jb,2,0:53:20,Camelion,5,T,,H,0:40:27,0:40:47,0:00:20,2:40:27,2:40:47
jb,2,0:53:20,Camelion,5,D,3,,0:40:48,0:40:50,0:00:02,2:40:48,2:40:50
jb,2,0:53:20,Camelion,5,T,,H,0:41:12,0:41:30,0:00:18,2:41:12,2:41:30
jb,2,0:53:20,Camelion,5,T,,H,0:42:06,0:42:47,0:00:41,2:42:06,2:42:47
jb,2,0:53:20,Camelion,5,D,4,,0:42:49,0:42:59,0:00:10,2:42:49,2:42:59
