N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Start,End,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:28:26,0:28:29,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:28:33,0:28:40,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:28:54,0:29:31,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:29:31,0:29:58,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:30:07,0:30:49,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:31:20,0:32:02,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:32:16,0:32:20,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:33:02,0:33:07,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:33:55,0:33:59,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:34:19,0:34:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:34:31,0:34:56,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,V,EVENT,,YES,NO,0:35:39,0:35:39,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:35:40,0:38:08,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:38:15,0:38:48,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:39:28,0:39:48,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:39:57,0:40:46,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,H,EVENT,,YES,NO,0:40:50,0:40:51,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:41:08,0:41:16,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:41:16,0:41:24,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:41:24,0:41:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:42:28,0:42:36,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:01:52,0:02:03,,,,,,,,,,,,,,,,
0,4/8/19,baseline,,,0:42:36,BA_V,,,,,0:02:26,0:02:33,,,,,,,,,,,,,,,,
